market_uuid,trading_day,quoted_spread,rel_quoted_spread,depth_best,pct_two_sided,rel_eff_spread,rv_mid,n_trades,treatment,repetition,gkey,sess,trader_day_directionality
7639dc96-fd01-4576-8cdc-79c9d30dcd81,9,14.120799110463295,0.1893148272873727,2.8234832605035867,0.961747781713959,0.07006219374293249,0.36162794216972455,16,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.9333333333333332
7639dc96-fd01-4576-8cdc-79c9d30dcd81,10,11.834588462425298,0.3167294011924785,2.6340158511324545,0.9056745132510765,1.7839851024208568,0.548507782649403,6,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,1.0
7639dc96-fd01-4576-8cdc-79c9d30dcd81,11,6.617667280920741,0.26720370899071233,4.999018976707272,0.9888621750658665,0.5261589144246605,0.5545412624411704,19,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,1.0
7639dc96-fd01-4576-8cdc-79c9d30dcd81,12,3.573084202748224,0.24736110728817504,2.4748817101951297,0.9909511801057763,1.3812307692307693,0.47204744616313654,10,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.9199999999999999
7639dc96-fd01-4576-8cdc-79c9d30dcd81,13,4.558450774575973,0.3106572818676533,3.833610986457451,1.0,0.46285714285714297,1.341484801057416,14,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.8400000000000001
7639dc96-fd01-4576-8cdc-79c9d30dcd81,14,5.07140245914765,0.38785831767157525,5.024917052963038,1.0,0.17307692307692307,0.41226050164898276,8,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,0.6666666666666666
7639dc96-fd01-4576-8cdc-79c9d30dcd81,15,6.250792979947226,0.5917485293562752,5.189891259121145,1.0,0.6445182724252492,0.21058007617202135,7,ghp,2,90ay03zv|ehyb34jx|g9jo03o9|h0ebvwds|u2aoz11d|ukmvlwcs,20260520_PM,1.0
c06d584f-16fe-42a0-a5b0-281026bd6ca3,1,36.48155829438336,0.5926579440265154,2.1256026212251142,0.9705134001645661,0.644366668878251,1.563662636985905,11,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.5833333333333334
c06d584f-16fe-42a0-a5b0-281026bd6ca3,2,19.851783723662294,0.2806540867256163,2.327961290432958,1.0,0.43746136150945597,0.6655422787317785,11,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.6190476190476191
c06d584f-16fe-42a0-a5b0-281026bd6ca3,3,12.825814149363001,0.17986439299263451,2.0740682570494253,1.0,0.324791549627974,0.4271230031161842,8,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.6666666666666666
c06d584f-16fe-42a0-a5b0-281026bd6ca3,4,1.3174443262705418,0.019831428067885997,3.076547146201171,1.0,0.04140299660766192,0.1356833808731287,29,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.6863756613756613
c06d584f-16fe-42a0-a5b0-281026bd6ca3,5,3.0545575846782245,0.046220248268514154,2.9493237822614793,1.0,0.07145945335890054,0.07155644732224545,24,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.730909090909091
c06d584f-16fe-42a0-a5b0-281026bd6ca3,6,0.7357979370444137,0.010997915929916858,2.0053163548508066,1.0,0.06156735997149704,0.05456423687740073,6,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.8055555555555555
c06d584f-16fe-42a0-a5b0-281026bd6ca3,7,1.006745922156824,0.015456077457083744,2.8343556518066313,1.0,0.03474311084399705,0.04495582713950562,28,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.73
c06d584f-16fe-42a0-a5b0-281026bd6ca3,8,1.2239193658091467,0.01877199577645809,2.245012089044176,1.0,0.027654781325254146,0.027898144653923918,8,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.9333333333333332
c06d584f-16fe-42a0-a5b0-281026bd6ca3,9,0.6899298244389888,0.0106370161807296,2.3177336835980458,1.0,0.014738005293860648,0.03337107829344636,24,ghp,2,dadcupjc|e60078af|gr27p5tr|ja9vp1ab|stzawa55|tzbpp88u,20260520_PM,0.8204365079365079
